Provience,District,Local Body,Ward No,Post,Candidate,Party
गण्डकी प्रदेश,मुस्तांग,घरपझोङ गाउँपालिका,1,सदस्य,चक्र सिंह थकाली,नेपाल कम्युनिष्ट पार्टी (एमाले)
गण्डकी प्रदेश,मुस्तांग,घरपझोङ गाउँपालिका,1,सदस्य,दुर्गा देवी रसाइली,नेपाल कम्युनिष्ट पार्टी (एकिकृत समाजबादी)
गण्डकी प्रदेश,मुस्तांग,घरपझोङ गाउँपालिका,2,सदस्य,विमल नेपाली,राष्ट्रिय प्रजातन्त्र पार्टी
गण्डकी प्रदेश,मुस्तांग,घरपझोङ गाउँपालिका,2,सदस्य,हरि प्रसाद लालचन,राष्ट्रिय प्रजातन्त्र पार्टी
गण्डकी प्रदेश,मुस्तांग,घरपझोङ गाउँपालिका,3,सदस्य,वीर प्रसाद थकाली,नेपाल कम्युनिष्ट पार्टी (एमाले)
गण्डकी प्रदेश,मुस्तांग,घरपझोङ गाउँपालिका,3,सदस्य,आइतलाल थकाली,नेपाली काँग्रेस
गण्डकी प्रदेश,मुस्तांग,घरपझोङ गाउँपालिका,3,सदस्य,आईते लाल थकाली,नेपाल कम्युनिष्ट पार्टी (एमाले)
गण्डकी प्रदेश,मुस्तांग,घरपझोङ गाउँपालिका,3,सदस्य,महेन्द्र प्रसाद थकाली,नेपाली काँग्रेस
गण्डकी प्रदेश,मुस्तांग,घरपझोङ गाउँपालिका,4,सदस्य,जितेन्द्र शेरचन,नेपाल कम्युनिष्ट पार्टी (एमाले)
गण्डकी प्रदेश,मुस्तांग,घरपझोङ गाउँपालिका,4,सदस्य,सुरेश शेरचन,नेपाल कम्युनिष्ट पार्टी (एमाले)
गण्डकी प्रदेश,मुस्तांग,घरपझोङ गाउँपालिका,4,सदस्य,आनन्द गुरुङ,नेपाली काँग्रेस
गण्डकी प्रदेश,मुस्तांग,घरपझोङ गाउँपालिका,4,सदस्य,विजय शेरचन,नेपाली काँग्रेस
गण्डकी प्रदेश,मुस्तांग,घरपझोङ गाउँपालिका,5,सदस्य,आइत बहादुर थकाली,नेपाल कम्युनिष्ट पार्टी (एमाले)
गण्डकी प्रदेश,मुस्तांग,घरपझोङ गाउँपालिका,5,सदस्य,कृष्ण प्रसाद थकाली,नेपाली काँग्रेस
