Provience,District,Local Body,Ward No,Post,Candidate,Party
प्रदेश १,इलाम,देउमाई नगरपालिका,1,महिला सदस्य,एलिसा राई,नेपाल कम्युनिष्ट पार्टी (एमाले)
प्रदेश १,इलाम,देउमाई नगरपालिका,1,महिला सदस्य,दिल कुमारी राई (थुलुङ),नेपाली काँग्रेस
प्रदेश १,इलाम,देउमाई नगरपालिका,2,महिला सदस्य,तील रुपा लिम्‍बु,नेपाल कम्युनिष्ट पार्टी (एमाले)
प्रदेश १,इलाम,देउमाई नगरपालिका,2,महिला सदस्य,इन्द्र देवी राई,नेपाल कम्युनिष्ट पार्टी (एकिकृत समाजबादी)
प्रदेश १,इलाम,देउमाई नगरपालिका,2,महिला सदस्य,कमला चम्लागाई,नेपाली काँग्रेस
प्रदेश १,इलाम,देउमाई नगरपालिका,3,महिला सदस्य,जानुका राउत,नेपाली काँग्रेस
प्रदेश १,इलाम,देउमाई नगरपालिका,3,महिला सदस्य,मिना कुमारी राई,नेपाल कम्युनिष्ट पार्टी (एकिकृत समाजबादी)
प्रदेश १,इलाम,देउमाई नगरपालिका,3,महिला सदस्य,मिना राना(मगर),नेपाल कम्युनिष्ट पार्टी (एमाले)
प्रदेश १,इलाम,देउमाई नगरपालिका,4,महिला सदस्य,जानुका देवी भट्टराई(घिमिरे),नेपाल कम्युनिष्ट पार्टी (एमाले)
प्रदेश १,इलाम,देउमाई नगरपालिका,4,महिला सदस्य,सावित्रा देवी श्रेष्‍ठ,नेपाली काँग्रेस
प्रदेश १,इलाम,देउमाई नगरपालिका,5,महिला सदस्य,फुर्दीकी लिम्बु,मंगोल नेशनल अर्गनाइजेसन
प्रदेश १,इलाम,देउमाई नगरपालिका,5,महिला सदस्य,टिका माया खड्का,नेपाली काँग्रेस
प्रदेश १,इलाम,देउमाई नगरपालिका,5,महिला सदस्य,शान्‍ति लिम्‍बु,नेपाल कम्युनिष्ट पार्टी (एमाले)
प्रदेश १,इलाम,देउमाई नगरपालिका,6,महिला सदस्य,उमा देवि निरौला लुइटेल,नेपाल कम्युनिष्ट पार्टी (एमाले)
प्रदेश १,इलाम,देउमाई नगरपालिका,6,महिला सदस्य,कृष्ण कुमारी श्रेष्‍ठ,नेपाली काँग्रेस
प्रदेश १,इलाम,देउमाई नगरपालिका,7,महिला सदस्य,विधा भट्टराई ढकाल,नेपाली काँग्रेस
प्रदेश १,इलाम,देउमाई नगरपालिका,7,महिला सदस्य,दुर्गा माया पोख्रेल,नेपाल कम्युनिष्ट पार्टी (एमाले)
प्रदेश १,इलाम,देउमाई नगरपालिका,7,महिला सदस्य,अम्विका लिम्वु,मंगोल नेशनल अर्गनाइजेसन
प्रदेश १,इलाम,देउमाई नगरपालिका,8,महिला सदस्य,इन्दिरा बाँस्कोटा राउत,नेपाल कम्युनिष्ट पार्टी (एमाले)
प्रदेश १,इलाम,देउमाई नगरपालिका,8,महिला सदस्य,अनिता राई,मंगोल नेशनल अर्गनाइजेसन
प्रदेश १,इलाम,देउमाई नगरपालिका,8,महिला सदस्य,मनिषा भट्टराई,नेपाली काँग्रेस
प्रदेश १,इलाम,देउमाई नगरपालिका,9,महिला सदस्य,नर माया मगर,नेपाल कम्युनिष्ट पार्टी (एमाले)
प्रदेश १,इलाम,देउमाई नगरपालिका,9,महिला सदस्य,यसोदा खनाल,नेपाली काँग्रेस
