Provience,District,Local Body,Ward No,Post,Candidate,Party
प्रदेश १,इलाम,सन्दकपुर गाउँपालिका,1,महिला सदस्य,विनु राई,नेपाल कम्युनिष्ट पार्टी (एमाले)
प्रदेश १,इलाम,सन्दकपुर गाउँपालिका,1,महिला सदस्य,ललीता राई,मंगोल नेशनल अर्गनाइजेसन
प्रदेश १,इलाम,सन्दकपुर गाउँपालिका,1,महिला सदस्य,फूल माया राई / दुमी,नेपाली काँग्रेस
प्रदेश १,इलाम,सन्दकपुर गाउँपालिका,2,महिला सदस्य,रेखा राई,मंगोल नेशनल अर्गनाइजेसन
प्रदेश १,इलाम,सन्दकपुर गाउँपालिका,2,महिला सदस्य,कृष्ण कुमारी गुरुङ्ग,नेपाल कम्युनिष्ट पार्टी (एमाले)
प्रदेश १,इलाम,सन्दकपुर गाउँपालिका,2,महिला सदस्य,ममता राई,नेपाल कम्युनिष्ट पार्टी (एकिकृत समाजबादी)
प्रदेश १,इलाम,सन्दकपुर गाउँपालिका,3,महिला सदस्य,मुना देवि बस्नेत,नेपाल कम्युनिष्ट पार्टी (एमाले)
प्रदेश १,इलाम,सन्दकपुर गाउँपालिका,3,महिला सदस्य,सुजना राई,मंगोल नेशनल अर्गनाइजेसन
प्रदेश १,इलाम,सन्दकपुर गाउँपालिका,3,महिला सदस्य,पुण्यवती निरौला (रिजाल),नेपाली काँग्रेस
प्रदेश १,इलाम,सन्दकपुर गाउँपालिका,4,महिला सदस्य,रन माया गुरुङ्ग,मंगोल नेशनल अर्गनाइजेसन
प्रदेश १,इलाम,सन्दकपुर गाउँपालिका,4,महिला सदस्य,नर माया थेवे,नेपाल कम्युनिष्ट पार्टी (एमाले)
प्रदेश १,इलाम,सन्दकपुर गाउँपालिका,4,महिला सदस्य,करुणा पौडेल लिम्बु,नेपाली काँग्रेस
प्रदेश १,इलाम,सन्दकपुर गाउँपालिका,5,महिला सदस्य,सीता कार्की क्षेत्री,नेपाल कम्युनिष्ट पार्टी (एमाले)
प्रदेश १,इलाम,सन्दकपुर गाउँपालिका,5,महिला सदस्य,कुमारी गुरुङ्ग,मंगोल नेशनल अर्गनाइजेसन
प्रदेश १,इलाम,सन्दकपुर गाउँपालिका,5,महिला सदस्य,उमा कुमारी नेम्वाङ,नेपाल कम्युनिष्ट पार्टी (एकिकृत समाजबादी)
