Provience,District,Local Body,Ward No,Post,Candidate,Party
प्रदेश १,पाँचथर,याङवरक गाउँपालिका,1,महिला सदस्य,धन  कुमारि  राई,नेपाली काँग्रेस
प्रदेश १,पाँचथर,याङवरक गाउँपालिका,1,महिला सदस्य,शान्ती राई,नेपाल कम्युनिष्ट पार्टी (एमाले)
प्रदेश १,पाँचथर,याङवरक गाउँपालिका,1,महिला सदस्य,निर्मला राई,"जनता समाजवादी पार्टी, नेपाल"
प्रदेश १,पाँचथर,याङवरक गाउँपालिका,2,महिला सदस्य,सीता राई,नेपाल कम्युनिष्ट पार्टी (एमाले)
प्रदेश १,पाँचथर,याङवरक गाउँपालिका,2,महिला सदस्य,मन्जु तुम्बापो माङमु,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च
प्रदेश १,पाँचथर,याङवरक गाउँपालिका,2,महिला सदस्य,योग माया खरेल,नेपाली काँग्रेस
प्रदेश १,पाँचथर,याङवरक गाउँपालिका,3,महिला सदस्य,पुर्ण कुमारी नुगो,नेपाल कम्युनिष्ट पार्टी (एमाले)
प्रदेश १,पाँचथर,याङवरक गाउँपालिका,3,महिला सदस्य,इन्द्रकुमारी मेन्याङबो,नेपाली काँग्रेस
प्रदेश १,पाँचथर,याङवरक गाउँपालिका,4,महिला सदस्य,सर स्वता योङहाङ्ग,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च
प्रदेश १,पाँचथर,याङवरक गाउँपालिका,4,महिला सदस्य,मीना कुमारी योङहाङ,नेपाल कम्युनिष्ट पार्टी (एमाले)
प्रदेश १,पाँचथर,याङवरक गाउँपालिका,4,महिला सदस्य,ममता कार्की सिवाकोटी,नेपाली काँग्रेस
प्रदेश १,पाँचथर,याङवरक गाउँपालिका,5,महिला सदस्य,खिम माया लिम्बु,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च
प्रदेश १,पाँचथर,याङवरक गाउँपालिका,5,महिला सदस्य,हर्क देवी सेवा,नेपाल कम्युनिष्ट पार्टी (एमाले)
प्रदेश १,पाँचथर,याङवरक गाउँपालिका,6,महिला सदस्य,थर्क माया ओलि,नेपाली काँग्रेस
प्रदेश १,पाँचथर,याङवरक गाउँपालिका,6,महिला सदस्य,लिला माया अधिकारी,नेपाल कम्युनिष्ट पार्टी (एमाले)
