Provience,District,Local Body,Ward No,Post,Candidate,Party
प्रदेश १,मोरङ्ग,विराटनगर महानगरपालिका,,प्रमुख,सागर कुमार थापा,नेपाल कम्युनिष्ट पार्टी (एमाले)
प्रदेश १,मोरङ्ग,विराटनगर महानगरपालिका,,प्रमुख,अरुण कुमार मण्‍डल,जनमत पार्टी (जपा)
प्रदेश १,मोरङ्ग,विराटनगर महानगरपालिका,,प्रमुख,सक्रिय गौतम,स्वतन्त्र
प्रदेश १,मोरङ्ग,विराटनगर महानगरपालिका,,प्रमुख,उमेश कुमार यादव,स्वतन्त्र
प्रदेश १,मोरङ्ग,विराटनगर महानगरपालिका,,प्रमुख,सोने लाल राजवंशी,नेपाल कम्युनिष्ट पार्टी (समाजवादी)
प्रदेश १,मोरङ्ग,विराटनगर महानगरपालिका,,प्रमुख,देवी पौडेल,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी लेनिनवादी)
प्रदेश १,मोरङ्ग,विराटनगर महानगरपालिका,,प्रमुख,मृत्युनजय कुमार मीश्र,"लोकतान्त्रिक समाजवादी पार्टी, नेपाल"
प्रदेश १,मोरङ्ग,विराटनगर महानगरपालिका,,प्रमुख,प्रहलाद प्रसाद साह -  हलुवाई,राष्ट्रिय प्रजातन्त्र पार्टी
प्रदेश १,मोरङ्ग,विराटनगर महानगरपालिका,,प्रमुख,प्रदीप कुमार कामत,पिछडावर्ग निषाद दलित जनजाती पार्टी
प्रदेश १,मोरङ्ग,विराटनगर महानगरपालिका,,प्रमुख,रामचन्द्र प्रसाद गौतम,नेपाली कांग्रेस (बी.पी.)
प्रदेश १,मोरङ्ग,विराटनगर महानगरपालिका,,प्रमुख,नागेश्वर सिंह राजपुत,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च
प्रदेश १,मोरङ्ग,विराटनगर महानगरपालिका,,प्रमुख,नागेश कोईराला,नेपाली काँग्रेस
प्रदेश १,मोरङ्ग,विराटनगर महानगरपालिका,,प्रमुख,अमलेश कुमार कर्ण (कायस्थ),विवेकशील साझा पार्टी
