Provience,District,Local Body,Ward No,Post,Candidate,Party
बागमती प्रदेश,काठमाडौं,काठमाण्डौ महानगरपालिका,,प्रमुख,पिय रत्‍न महर्जन,नेपाल परिवार दल
बागमती प्रदेश,काठमाडौं,काठमाण्डौ महानगरपालिका,,प्रमुख,विजय प्रकाश सैजु,नेपाः राष्ट्रिय पार्टी
बागमती प्रदेश,काठमाडौं,काठमाण्डौ महानगरपालिका,,प्रमुख,मदन दास श्रेष्ठ,राष्ट्रिय प्रजातन्त्र पार्टी
बागमती प्रदेश,काठमाडौं,काठमाण्डौ महानगरपालिका,,प्रमुख,विनय स्थापित,स्वतन्त्र
बागमती प्रदेश,काठमाडौं,काठमाण्डौ महानगरपालिका,,प्रमुख,केशव स्थापीत,नेपाल कम्युनिष्ट पार्टी (एमाले)
बागमती प्रदेश,काठमाडौं,काठमाण्डौ महानगरपालिका,,प्रमुख,सिर्जना श्रेष्ठ,नेपाली काँग्रेस
बागमती प्रदेश,काठमाडौं,काठमाण्डौ महानगरपालिका,,प्रमुख,कान्ति तुलाधर(बज्राचार्य),स्वतन्त्र
बागमती प्रदेश,काठमाडौं,काठमाण्डौ महानगरपालिका,,प्रमुख,सन्देश शाक्‍य,स्वतन्त्र
बागमती प्रदेश,काठमाडौं,काठमाण्डौ महानगरपालिका,,प्रमुख,सुरेन्द्र महर्जन,नेपाल मजदुर किसान पार्टी
बागमती प्रदेश,काठमाडौं,काठमाण्डौ महानगरपालिका,,प्रमुख,रोशन शाही,स्वतन्त्र
बागमती प्रदेश,काठमाडौं,काठमाण्डौ महानगरपालिका,,प्रमुख,सुनिल श्रेष्‍ठ,स्वतन्त्र
बागमती प्रदेश,काठमाडौं,काठमाण्डौ महानगरपालिका,,प्रमुख,सरेन्द्र बज्राचार्य,स्वतन्त्र
बागमती प्रदेश,काठमाडौं,काठमाण्डौ महानगरपालिका,,प्रमुख,रविकान्त मानन्धर,स्वतन्त्र
बागमती प्रदेश,काठमाडौं,काठमाण्डौ महानगरपालिका,,प्रमुख,भक्त राज भुसाल,नेपाली कांग्रेस (बी.पी.)
