Provience,District,Local Body,Ward No,Post,Candidate,Party
बागमती प्रदेश,काठमाडौं,दक्षिणकाली नगरपालिका,1,वडा अध्यक्ष,जयन्द्र लामा,नेपाली काँग्रेस
बागमती प्रदेश,काठमाडौं,दक्षिणकाली नगरपालिका,1,वडा अध्यक्ष,दिपक प्रसाद नेपाल,राष्ट्रिय प्रजातन्त्र पार्टी
बागमती प्रदेश,काठमाडौं,दक्षिणकाली नगरपालिका,1,वडा अध्यक्ष,जय थापामगर,नेपाल कम्युनिष्ट पार्टी (एमाले)
बागमती प्रदेश,काठमाडौं,दक्षिणकाली नगरपालिका,2,वडा अध्यक्ष,चीरन्जीवी बोहरा,नेपाल कम्युनिष्ट पार्टी (एमाले)
बागमती प्रदेश,काठमाडौं,दक्षिणकाली नगरपालिका,2,वडा अध्यक्ष,दिल बहादुर नगरकोटी,"जनता समाजवादी पार्टी, नेपाल"
बागमती प्रदेश,काठमाडौं,दक्षिणकाली नगरपालिका,2,वडा अध्यक्ष,राम चन्द्र क्षेत्री,नेपाली काँग्रेस
बागमती प्रदेश,काठमाडौं,दक्षिणकाली नगरपालिका,2,वडा अध्यक्ष,मणिक लाल खवास,राष्ट्रिय प्रजातन्त्र पार्टी
बागमती प्रदेश,काठमाडौं,दक्षिणकाली नगरपालिका,3,वडा अध्यक्ष,राज कुमार के.सी.,स्वतन्त्र
बागमती प्रदेश,काठमाडौं,दक्षिणकाली नगरपालिका,3,वडा अध्यक्ष,सागर श्रेष्‍ठ,नेपाली काँग्रेस
बागमती प्रदेश,काठमाडौं,दक्षिणकाली नगरपालिका,3,वडा अध्यक्ष,रुपा बलामी,राष्ट्रिय प्रजातन्त्र पार्टी
बागमती प्रदेश,काठमाडौं,दक्षिणकाली नगरपालिका,3,वडा अध्यक्ष,प्रचण्ड मान सिंह बस्नेत,नेपाल कम्युनिष्ट पार्टी (एमाले)
बागमती प्रदेश,काठमाडौं,दक्षिणकाली नगरपालिका,4,वडा अध्यक्ष,पुष्‍कर खड्का,नेपाली काँग्रेस
बागमती प्रदेश,काठमाडौं,दक्षिणकाली नगरपालिका,4,वडा अध्यक्ष,भरत बहादुर बस्याल,"जनता समाजवादी पार्टी, नेपाल"
बागमती प्रदेश,काठमाडौं,दक्षिणकाली नगरपालिका,4,वडा अध्यक्ष,कविर श्रेष्ठ,नेपाल कम्युनिष्ट पार्टी (एमाले)
बागमती प्रदेश,काठमाडौं,दक्षिणकाली नगरपालिका,4,वडा अध्यक्ष,आदित्य श्रेष्ठ,राष्ट्रिय प्रजातन्त्र पार्टी
बागमती प्रदेश,काठमाडौं,दक्षिणकाली नगरपालिका,5,वडा अध्यक्ष,मैया सुनार,स्वतन्त्र
बागमती प्रदेश,काठमाडौं,दक्षिणकाली नगरपालिका,5,वडा अध्यक्ष,श्‍याम बहादुर खत्री,नेपाली काँग्रेस
बागमती प्रदेश,काठमाडौं,दक्षिणकाली नगरपालिका,5,वडा अध्यक्ष,श्याम कुमार बस्नेत,राष्ट्रिय प्रजातन्त्र पार्टी
बागमती प्रदेश,काठमाडौं,दक्षिणकाली नगरपालिका,5,वडा अध्यक्ष,श्याम बहादुर केंसी,नेपाल कम्युनिष्ट पार्टी (एमाले)
बागमती प्रदेश,काठमाडौं,दक्षिणकाली नगरपालिका,5,वडा अध्यक्ष,सहदेव लामा,"जनता समाजवादी पार्टी, नेपाल"
बागमती प्रदेश,काठमाडौं,दक्षिणकाली नगरपालिका,6,वडा अध्यक्ष,हरि शरण श्रेष्‍ठ,राष्ट्रिय प्रजातन्त्र पार्टी
बागमती प्रदेश,काठमाडौं,दक्षिणकाली नगरपालिका,6,वडा अध्यक्ष,शैलेश मान मानन्धर,नेपाली काँग्रेस
बागमती प्रदेश,काठमाडौं,दक्षिणकाली नगरपालिका,6,वडा अध्यक्ष,शंकर मान महर्जन,नेपाल कम्युनिष्ट पार्टी (एमाले)
बागमती प्रदेश,काठमाडौं,दक्षिणकाली नगरपालिका,7,वडा अध्यक्ष,विष्णु हरि अर्याल,नेपाली काँग्रेस
बागमती प्रदेश,काठमाडौं,दक्षिणकाली नगरपालिका,7,वडा अध्यक्ष,हरि प्रसाद तिमल्सेना,नेपाल कम्युनिष्ट पार्टी (एमाले)
बागमती प्रदेश,काठमाडौं,दक्षिणकाली नगरपालिका,7,वडा अध्यक्ष,अनिल खत्री,राष्ट्रिय प्रजातन्त्र पार्टी
बागमती प्रदेश,काठमाडौं,दक्षिणकाली नगरपालिका,8,वडा अध्यक्ष,योस कुमार वाईबा,नेपाली काँग्रेस
बागमती प्रदेश,काठमाडौं,दक्षिणकाली नगरपालिका,8,वडा अध्यक्ष,राज कुमार लामा,नेपाल कम्युनिष्ट पार्टी (एमाले)
बागमती प्रदेश,काठमाडौं,दक्षिणकाली नगरपालिका,8,वडा अध्यक्ष,दिनेश चापागाई,राष्ट्रिय प्रजातन्त्र पार्टी
बागमती प्रदेश,काठमाडौं,दक्षिणकाली नगरपालिका,9,वडा अध्यक्ष,अमृका बलामी,नेपाली काँग्रेस
बागमती प्रदेश,काठमाडौं,दक्षिणकाली नगरपालिका,9,वडा अध्यक्ष,आशा कुमारी तामाङ्ग,"जनता समाजवादी पार्टी, नेपाल"
बागमती प्रदेश,काठमाडौं,दक्षिणकाली नगरपालिका,9,वडा अध्यक्ष,बिनोद कुमार भण्‍डारी,राष्ट्रिय प्रजातन्त्र पार्टी
बागमती प्रदेश,काठमाडौं,दक्षिणकाली नगरपालिका,9,वडा अध्यक्ष,पुष्प राम गुरुङ्ग,नेपाल कम्युनिष्ट पार्टी (एमाले)
