Provience,District,Local Body,Ward No,Post,Candidate,Party
मधेश प्रदेश,धनुषा,जनकपुरधाम उपमहानगरपालिका,,उपप्रमुख,लक्ष्मी नारायण महतो,स्वतन्त्र
मधेश प्रदेश,धनुषा,जनकपुरधाम उपमहानगरपालिका,,उपप्रमुख,लोकेश शाह,स्वतन्त्र
मधेश प्रदेश,धनुषा,जनकपुरधाम उपमहानगरपालिका,,उपप्रमुख,फुलदेव पंडित,स्वतन्त्र
मधेश प्रदेश,धनुषा,जनकपुरधाम उपमहानगरपालिका,,उपप्रमुख,रुणा देवी झा,नेपाल कम्युनिष्ट पार्टी (एमाले)
मधेश प्रदेश,धनुषा,जनकपुरधाम उपमहानगरपालिका,,उपप्रमुख,ईश्वर पंडित कुम्हार,तराइ-मधेश लोकतान्त्रिक पार्टी
मधेश प्रदेश,धनुषा,जनकपुरधाम उपमहानगरपालिका,,उपप्रमुख,रुवी कुमारी तिवारी,नेपालका लागि नेपाली पार्टी
मधेश प्रदेश,धनुषा,जनकपुरधाम उपमहानगरपालिका,,उपप्रमुख,विरेन्द्र पासमान,स्वतन्त्र
मधेश प्रदेश,धनुषा,जनकपुरधाम उपमहानगरपालिका,,उपप्रमुख,नयन कुमारी कलवार,नेपाल परिवार दल
मधेश प्रदेश,धनुषा,जनकपुरधाम उपमहानगरपालिका,,उपप्रमुख,वन्दना देवी,नेपाल जनता पार्टी
मधेश प्रदेश,धनुषा,जनकपुरधाम उपमहानगरपालिका,,उपप्रमुख,श्याम प्रसाद साह,स्वतन्त्र
मधेश प्रदेश,धनुषा,जनकपुरधाम उपमहानगरपालिका,,उपप्रमुख,रिता कुमारी मिश्र,"लोकतान्त्रिक समाजवादी पार्टी, नेपाल"
मधेश प्रदेश,धनुषा,जनकपुरधाम उपमहानगरपालिका,,उपप्रमुख,हफिजुल राईन,स्वतन्त्र
मधेश प्रदेश,धनुषा,जनकपुरधाम उपमहानगरपालिका,,उपप्रमुख,कुमारी वनिता यादव,स्वतन्त्र
मधेश प्रदेश,धनुषा,जनकपुरधाम उपमहानगरपालिका,,उपप्रमुख,हरिदेव यादव,स्वतन्त्र
मधेश प्रदेश,धनुषा,जनकपुरधाम उपमहानगरपालिका,,उपप्रमुख,संतोष कुमार साह,जनमत पार्टी (जपा)
मधेश प्रदेश,धनुषा,जनकपुरधाम उपमहानगरपालिका,,उपप्रमुख,उमेश चौधरी,स्वतन्त्र
मधेश प्रदेश,धनुषा,जनकपुरधाम उपमहानगरपालिका,,उपप्रमुख,मो मोजिवुर रहमान साह,स्वतन्त्र
मधेश प्रदेश,धनुषा,जनकपुरधाम उपमहानगरपालिका,,उपप्रमुख,सुरेश प्रसाद साह,स्वतन्त्र
मधेश प्रदेश,धनुषा,जनकपुरधाम उपमहानगरपालिका,,उपप्रमुख,महेन्द्र पुर्वे,स्वतन्त्र
मधेश प्रदेश,धनुषा,जनकपुरधाम उपमहानगरपालिका,,उपप्रमुख,"शम्भु साह, सुडी",स्वतन्त्र
मधेश प्रदेश,धनुषा,जनकपुरधाम उपमहानगरपालिका,,उपप्रमुख,निर्मल कुमार चौधरी,स्वतन्त्र
मधेश प्रदेश,धनुषा,जनकपुरधाम उपमहानगरपालिका,,उपप्रमुख,शिव कुमार कापर,स्वतन्त्र
मधेश प्रदेश,धनुषा,जनकपुरधाम उपमहानगरपालिका,,उपप्रमुख,मनोज कुमार पंडित,स्वतन्त्र
मधेश प्रदेश,धनुषा,जनकपुरधाम उपमहानगरपालिका,,उपप्रमुख,सुनिल कुमार मिश्र,स्वतन्त्र
मधेश प्रदेश,धनुषा,जनकपुरधाम उपमहानगरपालिका,,उपप्रमुख,जितेन्द्र कुमार साह हलुवाई,राष्ट्रिय प्रजातन्त्र पार्टी
मधेश प्रदेश,धनुषा,जनकपुरधाम उपमहानगरपालिका,,उपप्रमुख,रेखा देवी साह तेली,नेपाल लोकतान्त्रिक पार्टी
मधेश प्रदेश,धनुषा,जनकपुरधाम उपमहानगरपालिका,,उपप्रमुख,किशोरी साह,नेपाली काँग्रेस
