Provience,District,Local Body,Ward No,Post,Candidate,Party
मधेश प्रदेश,सप्तरी,कञ्चनरुप नगरपालिका,,प्रमुख,ललन प्रसाद गुप्‍ता,नेपाली काँग्रेस
मधेश प्रदेश,सप्तरी,कञ्चनरुप नगरपालिका,,प्रमुख,मो. कलिम मियाँ,नेपाल कम्युनिष्ट पार्टी (एमाले)
मधेश प्रदेश,सप्तरी,कञ्चनरुप नगरपालिका,,प्रमुख,भोला कुमार पासमान,"जनता समाजवादी पार्टी, नेपाल"
मधेश प्रदेश,सप्तरी,कञ्चनरुप नगरपालिका,,प्रमुख,इन्द्रदेव कौडगीया,जनमत पार्टी (जपा)
मधेश प्रदेश,सप्तरी,कञ्चनरुप नगरपालिका,,प्रमुख,श्रवण कुमार विष्ट,राष्ट्रिय प्रजातन्त्र पार्टी
मधेश प्रदेश,सप्तरी,कञ्चनरुप नगरपालिका,,प्रमुख,पुरुषोतम चौधरी,नेपाल कम्युनिष्ट पार्टी (एकिकृत समाजबादी)
मधेश प्रदेश,सप्तरी,कञ्चनरुप नगरपालिका,,प्रमुख,चन्द्रायण चौधरी,उन्‍नत लोकतन्त्र पार्टी
मधेश प्रदेश,सप्तरी,कञ्चनरुप नगरपालिका,,प्रमुख,दिनेश्‍वर यादव,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च
मधेश प्रदेश,सप्तरी,कञ्चनरुप नगरपालिका,,प्रमुख,बालेश्‍वर चौधरी,स्वतन्त्र
मधेश प्रदेश,सप्तरी,कञ्चनरुप नगरपालिका,,प्रमुख,राज कुमार चौधरी,"लोकतान्त्रिक समाजवादी पार्टी, नेपाल"
