Provience,District,Local Body,Ward No,Post,Candidate,Party
लुम्बिनी प्रदेश,गुल्मी,गुल्मीदरवार गाउँपालिका,1,दलित महिला सदस्य,इश्वरी चुनारा,नेपाल कम्युनिष्ट पार्टी (एमाले)
लुम्बिनी प्रदेश,गुल्मी,गुल्मीदरवार गाउँपालिका,1,दलित महिला सदस्य,रुपा सुनार,नेपाली काँग्रेस
लुम्बिनी प्रदेश,गुल्मी,गुल्मीदरवार गाउँपालिका,2,दलित महिला सदस्य,हुमकला सुनार,नेपाल कम्युनिष्ट पार्टी (एमाले)
लुम्बिनी प्रदेश,गुल्मी,गुल्मीदरवार गाउँपालिका,2,दलित महिला सदस्य,जुनु वि. क,नेपाली काँग्रेस
लुम्बिनी प्रदेश,गुल्मी,गुल्मीदरवार गाउँपालिका,3,दलित महिला सदस्य,हरिकला सुनार,नेपाल कम्युनिष्ट पार्टी (एमाले)
लुम्बिनी प्रदेश,गुल्मी,गुल्मीदरवार गाउँपालिका,3,दलित महिला सदस्य,विष्णु परियार,नेपाली काँग्रेस
लुम्बिनी प्रदेश,गुल्मी,गुल्मीदरवार गाउँपालिका,4,दलित महिला सदस्य,सुमित्रा सुनार,नेपाली काँग्रेस
लुम्बिनी प्रदेश,गुल्मी,गुल्मीदरवार गाउँपालिका,4,दलित महिला सदस्य,सरस्वती स्वर्णकार,नेपाल कम्युनिष्ट पार्टी (एमाले)
लुम्बिनी प्रदेश,गुल्मी,गुल्मीदरवार गाउँपालिका,5,दलित महिला सदस्य,शान्ता वि.क.,नेपाली काँग्रेस
लुम्बिनी प्रदेश,गुल्मी,गुल्मीदरवार गाउँपालिका,5,दलित महिला सदस्य,मिना लोहार,नेपाल कम्युनिष्ट पार्टी (एमाले)
लुम्बिनी प्रदेश,गुल्मी,गुल्मीदरवार गाउँपालिका,6,दलित महिला सदस्य,माया सार्की,नेपाल कम्युनिष्ट पार्टी (एमाले)
लुम्बिनी प्रदेश,गुल्मी,गुल्मीदरवार गाउँपालिका,6,दलित महिला सदस्य,विष्णु वि.क.,नेपाली काँग्रेस
लुम्बिनी प्रदेश,गुल्मी,गुल्मीदरवार गाउँपालिका,7,दलित महिला सदस्य,राधिका सुनार,नेपाल कम्युनिष्ट पार्टी (एमाले)
लुम्बिनी प्रदेश,गुल्मी,गुल्मीदरवार गाउँपालिका,7,दलित महिला सदस्य,मिना विश्‍वकर्मा,नेपाली काँग्रेस
