Provience,District,Local Body,Ward No,Post,Candidate,Party
लुम्बिनी प्रदेश,पाल्पा,रम्भा गाउँपालिका,1,वडा अध्यक्ष,ईश्वरी काफ्ले,नेपाली काँग्रेस
लुम्बिनी प्रदेश,पाल्पा,रम्भा गाउँपालिका,1,वडा अध्यक्ष,मन बहादुर मश्राङ्गी,नेपाल कम्युनिष्ट पार्टी (एमाले)
लुम्बिनी प्रदेश,पाल्पा,रम्भा गाउँपालिका,2,वडा अध्यक्ष,चेत बहादुर सुनारी मगर,नेपाल कम्युनिष्ट पार्टी (एमाले)
लुम्बिनी प्रदेश,पाल्पा,रम्भा गाउँपालिका,2,वडा अध्यक्ष,रमेश पछाई,नेपाली काँग्रेस
लुम्बिनी प्रदेश,पाल्पा,रम्भा गाउँपालिका,3,वडा अध्यक्ष,रेउट बहादुर राना,नेपाल कम्युनिष्ट पार्टी (एमाले)
लुम्बिनी प्रदेश,पाल्पा,रम्भा गाउँपालिका,3,वडा अध्यक्ष,थमन वहादुर गाहा,नेपाली काँग्रेस
लुम्बिनी प्रदेश,पाल्पा,रम्भा गाउँपालिका,4,वडा अध्यक्ष,कृष्ण बहादुर रायमाझी,नेपाल कम्युनिष्ट पार्टी (एमाले)
लुम्बिनी प्रदेश,पाल्पा,रम्भा गाउँपालिका,4,वडा अध्यक्ष,चेत नारायण श्रेष्ठ,नेपाली काँग्रेस
लुम्बिनी प्रदेश,पाल्पा,रम्भा गाउँपालिका,4,वडा अध्यक्ष,विष्णु बहादुर थापा,मंगोल नेशनल अर्गनाइजेसन
लुम्बिनी प्रदेश,पाल्पा,रम्भा गाउँपालिका,5,वडा अध्यक्ष,बिस्नु बहादुर थापा कांमु,नेपाली काँग्रेस
लुम्बिनी प्रदेश,पाल्पा,रम्भा गाउँपालिका,5,वडा अध्यक्ष,ताराप्रसाद देवकोटा,स्वतन्त्र
लुम्बिनी प्रदेश,पाल्पा,रम्भा गाउँपालिका,5,वडा अध्यक्ष,खुम कान्त बस्याल,नेपाल कम्युनिष्ट पार्टी (एमाले)
