Provience,District,Local Body,Ward No,Post,Candidate,Party
सुदूरपश्चिम प्रदेश,कैलाली,लम्की चुहा नगरपालिका,,प्रमुख,मदन राज उपाध्याय,राष्ट्रिय प्रजातन्त्र पार्टी
सुदूरपश्चिम प्रदेश,कैलाली,लम्की चुहा नगरपालिका,,प्रमुख,कृष्ण बहादुर बटाला,स्वतन्त्र
सुदूरपश्चिम प्रदेश,कैलाली,लम्की चुहा नगरपालिका,,प्रमुख,धर्म राज जैशी,नेपाल कम्युनिष्ट पार्टी माओवादी समाजवादी
सुदूरपश्चिम प्रदेश,कैलाली,लम्की चुहा नगरपालिका,,प्रमुख,दिपक रावल,स्वतन्त्र
सुदूरपश्चिम प्रदेश,कैलाली,लम्की चुहा नगरपालिका,,प्रमुख,उदय राम भाट,स्वतन्त्र
सुदूरपश्चिम प्रदेश,कैलाली,लम्की चुहा नगरपालिका,,प्रमुख,देशराम चौधरी,नेपाल लोकतान्त्रिक पार्टी
सुदूरपश्चिम प्रदेश,कैलाली,लम्की चुहा नगरपालिका,,प्रमुख,सुशिला शाही,नेपाली काँग्रेस
सुदूरपश्चिम प्रदेश,कैलाली,लम्की चुहा नगरपालिका,,प्रमुख,रमेश कुमार रावल,नेपाल मजदुर किसान पार्टी
सुदूरपश्चिम प्रदेश,कैलाली,लम्की चुहा नगरपालिका,,प्रमुख,महेन्द्र उपाध्याय,नागरिक उन्मुक्ति पार्टी
सुदूरपश्चिम प्रदेश,कैलाली,लम्की चुहा नगरपालिका,,प्रमुख,महादेव बजगाई,नेपाल कम्युनिष्ट पार्टी (एमाले)
