Provience,District,Local Body,Ward No,Post,Candidate,Party
सुदूरपश्चिम प्रदेश,दार्चुला,ब्यास गाउँपालिका,1,वडा अध्यक्ष,अशोक सिंह बोहरा,नेपाल कम्युनिष्ट पार्टी (एमाले)
सुदूरपश्चिम प्रदेश,दार्चुला,ब्यास गाउँपालिका,1,वडा अध्यक्ष,शंकर सिंह ऐतवाल,नेपाली काँग्रेस
सुदूरपश्चिम प्रदेश,दार्चुला,ब्यास गाउँपालिका,2,वडा अध्यक्ष,असपाल सिँह बुढाथोकी,नेपाल कम्युनिष्ट पार्टी (एमाले)
सुदूरपश्चिम प्रदेश,दार्चुला,ब्यास गाउँपालिका,2,वडा अध्यक्ष,धिरन सिंह बुढाथोकी,नेपाली काँग्रेस
सुदूरपश्चिम प्रदेश,दार्चुला,ब्यास गाउँपालिका,3,वडा अध्यक्ष,उपेन्द्र सिह धामी,नेपाल कम्युनिष्ट पार्टी (एमाले)
सुदूरपश्चिम प्रदेश,दार्चुला,ब्यास गाउँपालिका,3,वडा अध्यक्ष,दिपक सिँह डडाल,नेपाली काँग्रेस
सुदूरपश्चिम प्रदेश,दार्चुला,ब्यास गाउँपालिका,4,वडा अध्यक्ष,मदन सिंह कुवर,नेपाली काँग्रेस
सुदूरपश्चिम प्रदेश,दार्चुला,ब्यास गाउँपालिका,4,वडा अध्यक्ष,झुन सिह विष्ट,नेपाल कम्युनिष्ट पार्टी (एमाले)
सुदूरपश्चिम प्रदेश,दार्चुला,ब्यास गाउँपालिका,5,वडा अध्यक्ष,वीर सिह  धामी,नेपाल कम्युनिष्ट पार्टी (एमाले)
सुदूरपश्चिम प्रदेश,दार्चुला,ब्यास गाउँपालिका,5,वडा अध्यक्ष,कल्यान सिह धामी,राष्ट्रिय प्रजातन्त्र पार्टी
सुदूरपश्चिम प्रदेश,दार्चुला,ब्यास गाउँपालिका,5,वडा अध्यक्ष,धनपति सिह धामी,नेपाली काँग्रेस
सुदूरपश्चिम प्रदेश,दार्चुला,ब्यास गाउँपालिका,6,वडा अध्यक्ष,मान सिह खाती,राष्ट्रिय प्रजातन्त्र पार्टी
सुदूरपश्चिम प्रदेश,दार्चुला,ब्यास गाउँपालिका,6,वडा अध्यक्ष,केशव दत्त बडू,स्वतन्त्र
सुदूरपश्चिम प्रदेश,दार्चुला,ब्यास गाउँपालिका,6,वडा अध्यक्ष,मनोज  सि‌ह  कुवर,नेपाली काँग्रेस
सुदूरपश्चिम प्रदेश,दार्चुला,ब्यास गाउँपालिका,6,वडा अध्यक्ष,राजेन्द्र सिंह कुँवर,नेपाल कम्युनिष्ट पार्टी (एमाले)
