Provience,District,Local Body,Ward No,Post,Candidate,Party
सुदूरपश्चिम प्रदेश,दार्चुला,लेकम गाउँपालिका,1,महिला सदस्य,पार्वती विष्ट,नेपाल कम्युनिष्ट पार्टी (एमाले)
सुदूरपश्चिम प्रदेश,दार्चुला,लेकम गाउँपालिका,1,महिला सदस्य,गंगा देवी विष्ट,नेपाल कम्युनिष्ट पार्टी (एकिकृत समाजबादी)
सुदूरपश्चिम प्रदेश,दार्चुला,लेकम गाउँपालिका,1,महिला सदस्य,कुमा विष्ट,नेपाली काँग्रेस
सुदूरपश्चिम प्रदेश,दार्चुला,लेकम गाउँपालिका,2,महिला सदस्य,द्रोपती जोशी,नेपाल कम्युनिष्ट पार्टी (एमाले)
सुदूरपश्चिम प्रदेश,दार्चुला,लेकम गाउँपालिका,2,महिला सदस्य,द्रोपती भट्ट,नेपाली काँग्रेस
सुदूरपश्चिम प्रदेश,दार्चुला,लेकम गाउँपालिका,3,महिला सदस्य,तुलसी पन्त,नेपाली काँग्रेस
सुदूरपश्चिम प्रदेश,दार्चुला,लेकम गाउँपालिका,3,महिला सदस्य,श्रीमती दुरा पार्की,नेपाल कम्युनिष्ट पार्टी (एमाले)
सुदूरपश्चिम प्रदेश,दार्चुला,लेकम गाउँपालिका,4,महिला सदस्य,पशुपती गिरी,स्वतन्त्र
सुदूरपश्चिम प्रदेश,दार्चुला,लेकम गाउँपालिका,4,महिला सदस्य,लीला कुमारी नाथ (गिरी),नेपाल कम्युनिष्ट पार्टी (एमाले)
सुदूरपश्चिम प्रदेश,दार्चुला,लेकम गाउँपालिका,4,महिला सदस्य,जानकी देवी विष्ट,नेपाली काँग्रेस
सुदूरपश्चिम प्रदेश,दार्चुला,लेकम गाउँपालिका,5,महिला सदस्य,सम्झना धमला(बोहरा),नेपाल कम्युनिष्ट पार्टी (एमाले)
सुदूरपश्चिम प्रदेश,दार्चुला,लेकम गाउँपालिका,5,महिला सदस्य,जयन्ती देवी बोहरा,राष्ट्रिय प्रजातन्त्र पार्टी
सुदूरपश्चिम प्रदेश,दार्चुला,लेकम गाउँपालिका,5,महिला सदस्य,श्रीमती इश्‍वरी बोहरा,नेपाली काँग्रेस
सुदूरपश्चिम प्रदेश,दार्चुला,लेकम गाउँपालिका,6,महिला सदस्य,बिस्ना नाथ,नेपाली काँग्रेस
सुदूरपश्चिम प्रदेश,दार्चुला,लेकम गाउँपालिका,6,महिला सदस्य,पुष्पा खत्री,स्वतन्त्र
सुदूरपश्चिम प्रदेश,दार्चुला,लेकम गाउँपालिका,6,महिला सदस्य,मानमती मिश्र,नेपाल कम्युनिष्ट पार्टी (एमाले)
