Provience,District,Local Body,Ward No,Post,Candidate,Party
सुदूरपश्चिम प्रदेश,बझाङ्ग,साइपाल गाउँपालिका,1,महिला सदस्य,जोगेनी देवी धामी,नेपाल कम्युनिष्ट पार्टी (एमाले)
सुदूरपश्चिम प्रदेश,बझाङ्ग,साइपाल गाउँपालिका,1,महिला सदस्य,चन्दकला कुमारी बोहरा,नेपाली काँग्रेस
सुदूरपश्चिम प्रदेश,बझाङ्ग,साइपाल गाउँपालिका,2,महिला सदस्य,वाटु देवी धामी,नेपाली काँग्रेस
सुदूरपश्चिम प्रदेश,बझाङ्ग,साइपाल गाउँपालिका,2,महिला सदस्य,पुल्ती देवी बोहरा,नेपाल कम्युनिष्ट पार्टी (एमाले)
सुदूरपश्चिम प्रदेश,बझाङ्ग,साइपाल गाउँपालिका,3,महिला सदस्य,बैसागी देवी बोहरा,नेपाली काँग्रेस
सुदूरपश्चिम प्रदेश,बझाङ्ग,साइपाल गाउँपालिका,3,महिला सदस्य,मनिसा  देवी  बोहरा,नेपाल कम्युनिष्ट पार्टी (एमाले)
सुदूरपश्चिम प्रदेश,बझाङ्ग,साइपाल गाउँपालिका,4,महिला सदस्य,निर्मला तामाङ्ग,नेपाली काँग्रेस
सुदूरपश्चिम प्रदेश,बझाङ्ग,साइपाल गाउँपालिका,4,महिला सदस्य,लक्ष्मी कुमारी बोहरा (गुरुङ्ग),नेपाल कम्युनिष्ट पार्टी (एमाले)
सुदूरपश्चिम प्रदेश,बझाङ्ग,साइपाल गाउँपालिका,5,महिला सदस्य,प्रमिला बोहरा,नेपाली काँग्रेस
सुदूरपश्चिम प्रदेश,बझाङ्ग,साइपाल गाउँपालिका,5,महिला सदस्य,रिउली बोहरा,नेपाल कम्युनिष्ट पार्टी (एमाले)
