Provience,District,Local Body,Ward No,Post,Candidate,Party
सुदूरपश्चिम प्रदेश,बझाङ्ग,सूर्मा गाउँपालिका,1,महिला सदस्य,सुन्जली कुमारी पुजारा,नेपाली काँग्रेस
सुदूरपश्चिम प्रदेश,बझाङ्ग,सूर्मा गाउँपालिका,1,महिला सदस्य,अमृता  कुमारी रोकाया,नेपाल कम्युनिष्ट पार्टी (एमाले)
सुदूरपश्चिम प्रदेश,बझाङ्ग,सूर्मा गाउँपालिका,2,महिला सदस्य,कुन्जडी बोहरा,नेपाली काँग्रेस
सुदूरपश्चिम प्रदेश,बझाङ्ग,सूर्मा गाउँपालिका,2,महिला सदस्य,पात्‍या देवी बोहरा,नेपाल कम्युनिष्ट पार्टी (एमाले)
सुदूरपश्चिम प्रदेश,बझाङ्ग,सूर्मा गाउँपालिका,3,महिला सदस्य,सिता देवी बि.सी,नेपाली काँग्रेस
सुदूरपश्चिम प्रदेश,बझाङ्ग,सूर्मा गाउँपालिका,3,महिला सदस्य,सोविता देवी विश्वकर्मा,नेपाल कम्युनिष्ट पार्टी (एमाले)
सुदूरपश्चिम प्रदेश,बझाङ्ग,सूर्मा गाउँपालिका,4,महिला सदस्य,देवु बोहरा,नेपाल कम्युनिष्ट पार्टी (एमाले)
सुदूरपश्चिम प्रदेश,बझाङ्ग,सूर्मा गाउँपालिका,4,महिला सदस्य,निर्मला कुमारी पुजारा-बोहरा,नेपाली काँग्रेस
सुदूरपश्चिम प्रदेश,बझाङ्ग,सूर्मा गाउँपालिका,5,महिला सदस्य,बेलु देवी जेठारा,नेपाल कम्युनिष्ट पार्टी (एमाले)
सुदूरपश्चिम प्रदेश,बझाङ्ग,सूर्मा गाउँपालिका,5,महिला सदस्य,जुना देवी बोहरा,नेपाली काँग्रेस
