Provience,District,Local Body,Ward No,Post,Candidate,Party
सुदूरपश्चिम प्रदेश,बझाङ्ग,सूर्मा गाउँपालिका,1,वडा अध्यक्ष,शिदार्थ बोहरा,नेपाल कम्युनिष्ट पार्टी (एमाले)
सुदूरपश्चिम प्रदेश,बझाङ्ग,सूर्मा गाउँपालिका,1,वडा अध्यक्ष,दिनेश बहादुर बोहरा,नेपाली काँग्रेस
सुदूरपश्चिम प्रदेश,बझाङ्ग,सूर्मा गाउँपालिका,2,वडा अध्यक्ष,हर्क बहादुर बोहरा,नेपाल कम्युनिष्ट पार्टी (एमाले)
सुदूरपश्चिम प्रदेश,बझाङ्ग,सूर्मा गाउँपालिका,2,वडा अध्यक्ष,सुरेन्द्र  बहादुर  बोहरा,नेपाली काँग्रेस
सुदूरपश्चिम प्रदेश,बझाङ्ग,सूर्मा गाउँपालिका,3,वडा अध्यक्ष,दिल बाहादुर बि.क,नेपाल कम्युनिष्ट पार्टी (एकिकृत समाजबादी)
सुदूरपश्चिम प्रदेश,बझाङ्ग,सूर्मा गाउँपालिका,3,वडा अध्यक्ष,कैलास बहादुर  बोहरा,नेपाल कम्युनिष्ट पार्टी (एमाले)
सुदूरपश्चिम प्रदेश,बझाङ्ग,सूर्मा गाउँपालिका,4,वडा अध्यक्ष,सर्जन वहादुर बोहरा,नेपाल कम्युनिष्ट पार्टी (एमाले)
सुदूरपश्चिम प्रदेश,बझाङ्ग,सूर्मा गाउँपालिका,4,वडा अध्यक्ष,लोक बहादुर बोहरा,नेपाली काँग्रेस
सुदूरपश्चिम प्रदेश,बझाङ्ग,सूर्मा गाउँपालिका,5,वडा अध्यक्ष,धर्क बोहरा,नेपाल कम्युनिष्ट पार्टी (एमाले)
सुदूरपश्चिम प्रदेश,बझाङ्ग,सूर्मा गाउँपालिका,5,वडा अध्यक्ष,विर बहादुर जेठारा,नेपाली काँग्रेस
