Provience,District,Local Body,Ward No,Post,Candidate,Party
सुदूरपश्चिम प्रदेश,बाजुरा,गौमुल गाउँपालिका,1,दलित महिला सदस्य,मैना चदारा,नेपाल कम्युनिष्ट पार्टी (एमाले)
सुदूरपश्चिम प्रदेश,बाजुरा,गौमुल गाउँपालिका,1,दलित महिला सदस्य,सुर्जा लवार,नेपाली काँग्रेस
सुदूरपश्चिम प्रदेश,बाजुरा,गौमुल गाउँपालिका,2,दलित महिला सदस्य,दिपुला सार्की,नेपाली काँग्रेस
सुदूरपश्चिम प्रदेश,बाजुरा,गौमुल गाउँपालिका,2,दलित महिला सदस्य,जवा सार्की,नेपाल कम्युनिष्ट पार्टी (एमाले)
सुदूरपश्चिम प्रदेश,बाजुरा,गौमुल गाउँपालिका,3,दलित महिला सदस्य,नर्मा देवी बि.क,नेपाल कम्युनिष्ट पार्टी (एमाले)
सुदूरपश्चिम प्रदेश,बाजुरा,गौमुल गाउँपालिका,3,दलित महिला सदस्य,जमुना वि.क,नेपाली काँग्रेस
सुदूरपश्चिम प्रदेश,बाजुरा,गौमुल गाउँपालिका,4,दलित महिला सदस्य,धौली बि‍ क‍,नेपाली काँग्रेस
सुदूरपश्चिम प्रदेश,बाजुरा,गौमुल गाउँपालिका,4,दलित महिला सदस्य,जना सार्की,नेपाल कम्युनिष्ट पार्टी (एमाले)
सुदूरपश्चिम प्रदेश,बाजुरा,गौमुल गाउँपालिका,5,दलित महिला सदस्य,मना कामी,नेपाली काँग्रेस
सुदूरपश्चिम प्रदेश,बाजुरा,गौमुल गाउँपालिका,5,दलित महिला सदस्य,शान्ति वि.क,नेपाल कम्युनिष्ट पार्टी (एमाले)
सुदूरपश्चिम प्रदेश,बाजुरा,गौमुल गाउँपालिका,6,दलित महिला सदस्य,धना ल्वार,नेपाल कम्युनिष्ट पार्टी (एमाले)
सुदूरपश्चिम प्रदेश,बाजुरा,गौमुल गाउँपालिका,6,दलित महिला सदस्य,संगिता सार्की,नेपाली काँग्रेस
